Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	2226	1995	2040	2247	2055	1936	2198	2297	2243	18610	18615	18699	9454	18696	18470	18597	18606
Th106.09		0	1386	1336	1055	1366	1367	1094	1072	959	20366	20384	20422	10335	20456	20069	20175	20138
Th106.11			0	1053	1391	1087	1616	1378	1422	1351	20345	20361	20444	10319	20456	20035	20162	20123
Th117.11				0	1371	1024	1665	1348	1409	1347	20367	20372	20413	10337	20457	20101	20224	20211
Th132.11					0	1389	1346	1112	1116	1018	20395	20413	20463	10364	20529	20131	20219	20180
Th134.11						0	1709	1386	1411	1340	20328	20395	20437	10361	20455	20072	20225	20149
Th162.12							0	1291	1386	1380	19901	19893	20004	10128	19989	19694	19838	19822
Th196.12								0	1077	1045	20297	20326	20382	10332	20414	20012	20149	20120
Th230.12									0	1067	20333	20339	20420	10343	20449	20077	20182	20167
Th074.13										0	20324	20335	20385	10327	20444	20069	20163	20141
Th166.12											0	1094	1099	555	1097	20331	20393	20426
Th092.13												0	1074	577	1114	20318	20426	20443
Th211.13													0	545	1081	20418	20464	20509
Th245.13														0	499	10324	10356	10409
Th246.13															0	20440	20522	20479
Th068.12																0	1012	1054
Th061.13																	0	1048
Th095.13																		0
